"EMISION","CUPON","EMISOR","NOMBRE EMISOR","CUSIP_EMISOR","CUSIPEMISION","countrydomicile","vencimiento","INDUSTRIA","CODIGO INDUSTRIA","FECHA EMISION","PRECIO EMISION","YIELD","TIPO CUPON","convertible","foreign_currency","PRINCIPAL","perpetual","Campo19","Campo20","Campo21","Campo22","Campo23","Campo24","Campo25","Campo26","Campo27","Campo28","Campo29"
"47130","6.4","41","ABBOTT LABS","002824","AH3","USA","2006-12-01 00:00:00","1","10","1996-12-04 00:00:00","100","6.4","F","N","N","1000","N","","","","","","","","","","",""
"48450","7","1664","FORD MTR CR CO","345402","T35","USA","2011-11-26 00:00:00","2","21","1996-11-13 00:00:00","100","7","F","N","N","1000","N","","","","","","","","","","",""
"49248","7.3","1664","FORD MTR CR CO","345402","U33","USA","2012-01-23 00:00:00","2","21","1997-01-06 00:00:00","100","7.3","F","N","N","1000","N","","","","","","","","","","",""
"50278","6.8","37581","MORGAN STANLEY GROUP INC","617446","AZ2","USA","2007-03-01 00:00:00","2","22","1997-02-21 00:00:00","99.641","6.925","F","N","N","1000","N","","","","","","","","","","",""
"55276","7.2","1664","FORD MTR CR CO","345397","RR6","USA","2007-06-15 00:00:00","2","21","1997-06-04 00:00:00","99.914","7.212","F","N","N","1000","N","","","","","","","","","","",""
"58837","6.45","2226","INTERNATIONAL BUSINESS MACHS CORP","459200","AQ4","USA","2007-08-01 00:00:00","1","10","1997-07-30 00:00:00","99.694","6.492","F","N","N","1000","N","","","","","","","","","","",""
"58865","6.75","3490","RAYTHEON CO","755111","AE1","USA","2007-08-15 00:00:00","1","10","1997-08-07 00:00:00","99.755","6.784","F","N","N","1000","N","","","","","","","","","","",""
"59545","7","1664","FORD MTR CR CO","345402","Z87","USA","2012-08-15 00:00:00","2","21","1997-07-21 00:00:00","","","F","N","N","1000","N","","","","","","","","","","",""
"60373","6.75","1292","DU PONT E I DE NEMOURS & CO","263534","BF5","USA","2007-09-01 00:00:00","1","10","1997-09-09 00:00:00","99.77","6.782","F","N","N","1000","N","","","","","","","","","","",""
"61610","7.57","4108","TIME WARNER COS INC","887315","BH1","USA","2024-02-01 00:00:00","1","15","1997-10-02 00:00:00","100","7.57","F","N","N","1000","N","","","","","","","","","","",""
"61654","7.25","4108","TIME WARNER COS INC","887315","BJ7","USA","2017-10-15 00:00:00","1","15","1997-10-03 00:00:00","98.587","7.386","F","N","N","1000","N","","","","","","","","","","",""
"63629","8.18","4108","TIME WARNER INC","887315","AX7","USA","2007-08-15 00:00:00","1","15","1995-08-01 00:00:00","","","F","N","N","1000","N","","","","","","","","","","",""
"66474","5.95","2653","MCDONALDS CORP","58013M","DE1","USA","2008-01-15 00:00:00","1","15","1998-01-06 00:00:00","99.924","5.96","F","N","N","1000","N","","","","","","","","","","",""
"67068","5.75","3271","PEPSICO INC","71345L","EC8","USA","2008-01-15 00:00:00","1","10","1998-01-09 00:00:00","99.604","5.803","F","N","N","1000","N","","","","","","","","","","",""
"67192","6.5","2226","INTERNATIONAL BUSINESS MACHS CORP","459200","AS0","USA","2028-01-15 00:00:00","1","10","1998-01-06 00:00:00","99.244","6.5578","F","N","N","1000","N","","","","","","","","","","",""
"67234","6.2","1664","FORD MTR CR CO","345402","2Z3","USA","2008-01-23 00:00:00","2","21","1998-01-12 00:00:00","100","6.2","F","N","N","1000","N","","","","","","","","","","",""
"69978","6.4","2692","MERCK & CO INC","589331","AD9","USA","2028-03-01 00:00:00","1","10","1998-02-25 00:00:00","99.787","6.416","F","N","N","1000","N","","","","","","","","","","",""
"71251","6.52","1664","FORD MTR CR CO","345402","3J8","USA","2013-03-10 00:00:00","2","21","1998-02-25 00:00:00","","","F","N","N","1000","N","","","","","","","","","","",""
"71271","6","41","ABBOTT LABS","002824","AJ9","USA","2008-03-15 00:00:00","1","10","1998-03-19 00:00:00","99.62","6.051","F","N","N","1000","N","","","","","","","","","","",""
